Precinct ID,County,Precinct Code,Precinct Name,Polling Location,Location Description,Address,City,Zip,Polling Location Contact Info,Authenticating Authority*,Date Authenticated*,Authority Contact Info,Address
1387525,Broomfield,2233364024,2233364024,,,,,,,,,,4614 Red Deer Trl Broomfield CO 
1387526,Broomfield,2233364025,2233364025,,,,,,,,,,5122 Brookside Dr Broomfield CO 
1387526,Broomfield,2233364025,2233364025,,,,,,,,,,14261 Wright Way Broomfield CO 
1387527,Broomfield,2233364026,2233364026,,,,,,,,,,14714 Eagle River Loop Broomfield CO 
1387527,Broomfield,2233364026,2233364026,,,,,,,,,,4798 Raven Run Broomfield CO 
1387528,Broomfield,2233364027,2233364027,,,,,,,,,,2889 W 126th Ave Broomfield CO 
1387528,Broomfield,2233364027,2233364027,,,,,,,,,,2859 Elaine Dr Broomfield CO 
1387529,Broomfield,2233364028,2233364028,,,,,,,,,,2885 E Midway Blvd Denver CO 
1387529,Broomfield,2233364028,2233364028,,,,,,,,,,2885 E Midway Blvd Northglenn CO 
1387530,Broomfield,2233364029,2233364029,,,,,,,,,,13100 Julian Ct Broomfield CO 
1387530,Broomfield,2233364029,2233364029,,,,,,,,,,13112 Julian Ct Broomfield CO 
1387531,Broomfield,2233364030,2233364030,,,,,,,,,,13305 Alcott Cir Broomfield CO 
1387531,Broomfield,2233364030,2233364030,,,,,,,,,,13192 Bryant Cir Broomfield CO 
1387532,Broomfield,2233364031,2233364031,,,,,,,,,,3575 Copper Ave Broomfield CO 
1387532,Broomfield,2233364031,2233364031,,,,,,,,,,3240 W 134th Ave Broomfield CO 
1387533,Broomfield,2233364032,2233364032,,,,,,,,,,1445 Eversole Dr Westminster CO 
1387533,Broomfield,2233364032,2233364032,,,,,,,,,,14395 Corrine Ct Broomfield CO 
1387534,Broomfield,2233364033,2233364033,,,,,,,,,,14037 Park Cove Dr Broomfield CO 
1387534,Broomfield,2233364033,2233364033,,,,,,,,,,14222 Lakeview Ln Broomfield CO 
1387535,Broomfield,2233364034,2233364034,,,,,,,,,,2680 Marion Way Westminster CO 
1387535,Broomfield,2233364034,2233364034,,,,,,,,,,2440 Red Hawk Pl Broomfield CO 
1387536,Broomfield,2233364035,2233364035,,,,,,,,,,4514 Silver Mountain Loop Broomfield CO 
1387536,Broomfield,2233364035,2233364035,,,,,,,,,,16504 Las Brisas Dr Broomfield CO 
1387537,Broomfield,2233364036,2233364036,,,,,,,,,,16757 Compass Way Broomfield CO 
1387537,Broomfield,2233364036,2233364036,,,,,,,,,,15976 Swan Mountain Dr Broomfield CO 
1387538,Broomfield,2233364037,2233364037,,,,,,,,,,4715 County Road 2 Broomfield CO 
1387538,Broomfield,2233364037,2233364037,,,,,,,,,,4715 County Road 2 Broomfield CO 
1387540,Chaffee,5056008001,5056008001,,,,,,,,,,330 Crestone Ave Salida CO 
1387540,Chaffee,5056008001,5056008001,,,,,,,,,,330 W State Highway 291 Salida CO 
1387541,Chaffee,5056008002,5056008002,,,,,,,,,,233 E 1st St Salida CO 
1387541,Chaffee,5056008002,5056008002,,,,,,,,,,229 F St Salida CO 
1387542,Chaffee,5056008003,5056008003,,,,,,,,,,105 Scott St Salida CO 
1387542,Chaffee,5056008003,5056008003,,,,,,,,,,204 Palmer St Salida CO 
1387543,Chaffee,5056008004,5056008004,,,,,,,,,,9080 County Road 240 Salida CO 
1387543,Chaffee,5056008004,5056008004,,,,,,,,,,8603 Cameron Meadow Cir Salida CO 
1387544,Chaffee,5056008005,5056008005,,,,,,,,,,10427 E Mesa View Ct Poncha Springs CO 
1387544,Chaffee,5056008005,5056008005,,,,,,,,,,7600 Meadowlark Dr Salida CO 
1387545,Chaffee,5056008006,5056008006,,,,,,,,,,30220 Columbia Pt Buena Vista CO 
1387545,Chaffee,5056008006,5056008006,,,,,,,,,,43198 N County Road 397 Granite CO 
1387546,Chaffee,5056008007,5056008007,,,,,,,,,,105 Surrey St Buena Vista CO 
1387546,Chaffee,5056008007,5056008007,,,,,,,,,,28870 Ramsour Rd Buena Vista CO 
1387547,Chaffee,5056008008,5056008008,,,,,,,,,,404 N Colorado Ave Buena Vista CO 
1387547,Chaffee,5056008008,5056008008,,,,,,,,,,28955 County Road 361a Buena Vista CO 
1387548,Chaffee,5056008009,5056008009,,,,,,,,,,22607 County Road 287 Nathrop CO 
1387548,Chaffee,5056008009,5056008009,,,,,,,,,,21357 Chalk Creek Dr Nathrop CO 
1387549,Chaffee,5056008010,5056008010,,,,,,,,,,18390 Trail West Dr Buena Vista CO 
1387549,Chaffee,5056008010,5056008010,,,,,,,,,,16370 County Road 356-12 Buena Vista CO 
1387550,Chaffee,5056008011,5056008011,,,,,,,,,,530 W 16th St Salida CO 
1387550,Chaffee,5056008011,5056008011,,,,,,,,,,29 Trailside Ct Salida CO 
1387551,Chaffee,5056008012,5056008012,,,,,,,,,,107 W 14th St Salida CO 
1387551,Chaffee,5056008012,5056008012,,,,,,,,,,627 G St Salida CO 
1387552,Chaffee,5056008013,5056008013,,,,,,,,,,26520 County Road 310 Buena Vista CO 
1387552,Chaffee,5056008013,5056008013,,,,,,,,,,10795 County Road 197a Nathrop CO 
1387553,Chaffee,5056008014,5056008014,,,,,,,,,,21500 County Road 185c Nathrop CO 
1387553,Chaffee,5056008014,5056008014,,,,,,,,,,6185 County Road 156 Salida CO 
1387554,Chaffee,5056008015,5056008015,,,,,,,,,,701 E Rainbow Blvd Salida CO 
1387554,Chaffee,5056008015,5056008015,,,,,,,,,,7061 County Road 110 Salida CO 
1387596,Delta,3055415001,3055415001,,,,,,,,,,3027 Highway 348 Delta CO 
1387596,Delta,3055415001,3055415001,,,,,,,,,,3269 Highway 348 Delta CO 
1387597,Delta,3055415004,3055415004,,,,,,,,,,1445 Porter Ct Delta CO 
1387597,Delta,3055415004,3055415004,,,,,,,,,,1154 Meeker St Delta CO 
1387598,Delta,3055415006,3055415006,,,,,,,,,,1675 Highway 92 Delta CO 
1387598,Delta,3055415006,3055415006,,,,,,,,,,1784 S Apple Dr Delta CO 
1387618,Denver,1310216205,1310216205,,,,,,,,,,777 E 14th Ave Denver CO 
1387618,Denver,1310216205,1310216205,,,,,,,,,,1445 N Corona St Denver CO 
1387619,Denver,1310216206,1310216206,,,,,,,,,,1050 N Sherman St Denver CO 
1387619,Denver,1310216206,1310216206,,,,,,,,,,830 N Sherman St Denver CO 
1387620,Denver,1310216207,1310216207,,,,,,,,,,1035 N Pearl St Denver CO 
1387620,Denver,1310216207,1310216207,,,,,,,,,,550 E 12th Ave Denver CO 
1387621,Denver,1310216208,1310216208,,,,,,,,,,775 E 11th Ave Denver CO 
1387621,Denver,1310216208,1310216208,,,,,,,,,,1255 N Ogden St Denver CO 
1387622,Denver,1310216209,1310216209,,,,,,,,,,330 E 10th Ave Denver CO 
1387622,Denver,1310216209,1310216209,,,,,,,,,,980 N Grant St Denver CO 
1387623,Denver,1310216210,1310216210,,,,,,,,,,833 N Emerson St Denver CO 
1387623,Denver,1310216210,1310216210,,,,,,,,,,800 N Pearl St Denver CO 
1387624,Denver,1310216211,1310216211,,,,,,,,,,1075 N Corona St Denver CO 
1387624,Denver,1310216211,1310216211,,,,,,,,,,940 N Ogden St Denver CO 
